term,code,reference,see_also,type,indent_level
nontraffic,V22.21,,,code,0
while boarding or alighting,V22.31,,,code,0
truck (traffic),V24.91,,,code,0
nontraffic,V24.21,,,code,0
while boarding or alighting,V24.31,,,code,0
two wheeled motor vehicle (traffic),V22.91,,,code,0
nontraffic,V22.21,,,code,0
while boarding or alighting,V22.31,,,code,0
van (traffic),V23.91,,,code,0
nontraffic,V23.21,,,code,0
while boarding or alighting,V23.31,,,code,0
animal (traffic),V20.41,,,code,0
being ridden (traffic),V26.41,,,code,0
nontraffic,V26.01,,,code,0
nontraffic,V20.01,,,code,0
animal-drawn vehicle (traffic),V26.41,,,code,0
nontraffic,V26.01,,,code,0
bus (traffic),V24.41,,,code,0
nontraffic,V24.01,,,code,0
car (traffic),V23.41,,,code,0
nontraffic,V23.01,,,code,0
motor vehicle NOS (traffic),V29.401,,,code,0
nontraffic,V29.001,,,code,0
specified type NEC (traffic),V29.491,,,code,0
nontraffic,V29.091,,,code,0
pedal cycle (traffic),V21.41,,,code,0
nontraffic,V21.01,,,code,0
nontraffic,V20.01,,,code,0
traffic,V20.41,,,code,0
pickup truck (traffic),V23.41,,,code,0
nontraffic,V23.01,,,code,0
railway vehicle (traffic),V25.41,,,code,0
nontraffic,V25.01,,,code,0
specified vehicle NEC (traffic),V26.41,,,code,0
nontraffic,V26.01,,,code,0
stationary object (traffic),V27.41,,,code,0
nontraffic,V27.01,,,code,0
streetcar (traffic),V26.41,,,code,0
nontraffic,V26.01,,,code,0
three wheeled motor vehicle (traffic),V22.41,,,code,0
nontraffic,V22.01,,,code,0
truck (traffic),V24.41,,,code,0
nontraffic,V24.01,,,code,0
two wheeled motor vehicle (traffic),V22.41,,,code,0
nontraffic,V22.01,,,code,0
van (traffic),V23.41,,,code,0
nontraffic,V23.01,,,code,0
noncollision accident (traffic),V28.41,,,code,0
nontraffic,V28.01,,,code,0
noncollision accident (traffic),V28.91,,,code,0
nontraffic,V28.21,,,code,0
while boarding or alighting,V28.31,,,code,0
nontraffic,V29.31,,,code,0
animal (traffic),V20.51,,,code,0
being ridden (traffic),V26.51,,,code,0
nontraffic,V26.11,,,code,0
nontraffic,V20.11,,,code,0
animal-drawn vehicle (traffic),V26.51,,,code,0
nontraffic,V26.11,,,code,0
bus (traffic),V24.51,,,code,0
nontraffic,V24.11,,,code,0
car (traffic),V23.51,,,code,0
nontraffic,V23.11,,,code,0
motor vehicle NOS (traffic),V29.501,,,code,0
nontraffic,V29.101,,,code,0
specified type NEC (traffic),V29.591,,,code,0
nontraffic,V29.191,,,code,0
pedal cycle (traffic),V21.51,,,code,0
nontraffic,V21.11,,,code,0
nontraffic,V20.11,,,code,0
traffic,V20.51,,,code,0
pickup truck (traffic),V23.51,,,code,0
nontraffic,V23.11,,,code,0
railway vehicle (traffic),V25.51,,,code,0
specified vehicle NEC (traffic),V26.51,,,code,0
nontraffic,V26.11,,,code,0
stationary object (traffic),V27.51,,,code,0
nontraffic,V27.11,,,code,0
streetcar (traffic),V26.51,,,code,0
nontraffic,V26.11,,,code,0
three wheeled motor vehicle (traffic),V22.51,,,code,0
nontraffic,V22.11,,,code,0
truck (traffic),V24.51,,,code,0
nontraffic,V24.11,,,code,0
two wheeled motor vehicle (traffic),V22.51,,,code,0
nontraffic,V22.11,,,code,0
van (traffic),V23.51,,,code,0
nontraffic,V23.11,,,code,0
noncollision accident (traffic),V28.51,,,code,0
nontraffic,V28.11,,,code,0
specified type NEC,V29.881,,,code,0
military vehicle,V29.811,,,code,0
forklift,,"Accident, transport, industrial vehicle occupant",,see,0
go cart,,"Accident, transport, all-terrain vehicle occupant",,see,0
golf cart,,"Accident, transport, all-terrain vehicle occupant",,see,0
heavy transport vehicle occupant,,"Accident, transport, truck occupant",,see,0
hoverboard,V00.848,,,code,0
ice yacht,V98.2,,,code,0
industrial vehicle occupant (nontraffic),V83.9,,,code,0
driver,V83.5,,,code,0
hanger-on,V83.7,,,code,0
passenger,V83.6,,,code,0
traffic,V83.3,,,code,0
driver,V83.0,,,code,0
hanger-on,V83.2,,,code,0
passenger,V83.1,,,code,0
while boarding or alighting,V83.4,,,code,0
interurban electric car,,"Accident, transport, streetcar",,see,0
land yacht,V98.1,,,code,0
logging car,,"Accident, transport, industrial vehicle occupant",,see,0
military vehicle occupant (traffic),V86.34,,,code,0
driver,V86.04,,,code,0
hanger-on,V86.24,,,code,0
nontraffic,V86.94,,,code,0
driver,V86.54,,,code,0
hanger-on,V86.74,,,code,0
passenger,V86.64,,,code,0
passenger,V86.14,,,code,0
while boarding or alighting,V86.44,,,code,0
mine tram,,"Accident, transport, industrial vehicle occupant",,see,0
motorcoach,,"Accident, transport, bus occupant",,see,0
motor/cross bike rider,V86.96,,"Accident, transport, dirt bike rider",code_with_see_also,0
motorcycle,V29.99,,,code,0
animal (traffic),V20.99,,,code,0
being ridden (traffic),V26.99,,,code,0
nontraffic,V26.29,,,code,0
while boarding or alighting,V26.39,,,code,0
nontraffic,V20.29,,,code,0
while boarding or alighting,V20.39,,,code,0
animal-drawn vehicle (traffic),V26.99,,,code,0
nontraffic,V26.29,,,code,0
while boarding or alighting,V26.39,,,code,0
bus (traffic),V24.99,,,code,0
nontraffic,V24.29,,,code,0
while boarding or alighting,V24.39,,,code,0
car (traffic),V23.99,,,code,0
nontraffic,V23.29,,,code,0
while boarding or alighting,V23.39,,,code,0
motor vehicle NOS (traffic),V29.608,,,code,0
nontraffic,V29.208,,,code,0
specified type NEC (traffic),V29.698,,,code,0
nontraffic,V29.298,,,code,0
pedal cycle (traffic),V21.99,,,code,0
nontraffic,V21.29,,,code,0
while boarding or alighting,V21.39,,,code,0
pickup truck (traffic),V23.99,,,code,0
nontraffic,V23.29,,,code,0
while boarding or alighting,V23.39,,,code,0
railway vehicle (traffic),V25.99,,,code,0
nontraffic,V25.29,,,code,0
while boarding or alighting,V25.39,,,code,0
specified vehicle NEC (traffic),V26.99,,,code,0
nontraffic,V26.29,,,code,0
while boarding or alighting,V26.39,,,code,0
stationary object (traffic),V27.99,,,code,0
nontraffic,V27.29,,,code,0
while boarding or alighting,V27.39,,,code,0
streetcar (traffic),V26.99,,,code,0
nontraffic,V26.29,,,code,0
while boarding or alighting,V26.39,,,code,0
three wheeled motor vehicle (traffic),V22.99,,,code,0
nontraffic,V22.29,,,code,0
while boarding or alighting,V22.39,,,code,0
truck (traffic),V24.99,,,code,0
nontraffic,V24.29,,,code,0
while boarding or alighting,V24.39,,,code,0
two wheeled motor vehicle (traffic),V22.99,,,code,0
nontraffic,V22.29,,,code,0
while boarding or alighting,V22.39,,,code,0
van (traffic),V23.99,,,code,0
nontraffic,V23.29,,,code,0
while boarding or alighting,V23.39,,,code,0
animal (traffic),V20.49,,,code,0
being ridden (traffic),V26.49,,,code,0
nontraffic,V26.09,,,code,0
nontraffic,V20.09,,,code,0
animal-drawn vehicle (traffic),V26.49,,,code,0
nontraffic,V26.09,,,code,0
bus (traffic),V24.49,,,code,0
nontraffic,V24.09,,,code,0
car (traffic),V23.49,,,code,0
nontraffic,V23.09,,,code,0
motor vehicle NOS (traffic),V29.408,,,code,0
nontraffic,V29.008,,,code,0
specified type NEC (traffic),V29.498,,,code,0
nontraffic,V29.098,,,code,0
pedal cycle (traffic),V21.49,,,code,0
nontraffic,V21.09,,,code,0
nontraffic,V20.09,,,code,0
traffic,V20.49,,,code,0
pickup truck (traffic),V23.49,,,code,0
nontraffic,V23.09,,,code,0
railway vehicle (traffic),V25.49,,,code,0
nontraffic,V25.09,,,code,0
specified vehicle NEC (traffic),V26.49,,,code,0
nontraffic,V26.09,,,code,0
stationary object (traffic),V27.49,,,code,0
nontraffic,V27.09,,,code,0
streetcar (traffic),V26.49,,,code,0
nontraffic,V26.09,,,code,0
three wheeled motor vehicle (traffic),V22.49,,,code,0
nontraffic,V22.09,,,code,0
truck (traffic),V24.49,,,code,0
nontraffic,V24.09,,,code,0
two wheeled motor vehicle (traffic),V22.49,,,code,0
nontraffic,V22.09,,,code,0
van (traffic),V23.49,,,code,0
nontraffic,V23.09,,,code,0
noncollision accident (traffic),V28.49,,,code,0
nontraffic,V28.09,,,code,0
noncollision accident (traffic),V28.99,,,code,0
nontraffic,V28.29,,,code,0
while boarding or alighting,V28.39,,,code,0
nontraffic,V29.39,,,code,0
animal (traffic),V20.59,,,code,0
being ridden (traffic),V26.59,,,code,0
nontraffic,V26.19,,,code,0
nontraffic,V20.19,,,code,0
animal-drawn vehicle (traffic),V26.59,,,code,0
nontraffic,V26.19,,,code,0
bus (traffic),V24.59,,,code,0
nontraffic,V24.19,,,code,0
car (traffic),V23.59,,,code,0
nontraffic,V23.19,,,code,0
motor vehicle NOS (traffic),V29.508,,,code,0
nontraffic,V29.108,,,code,0
specified type NEC (traffic),V29.598,,,code,0
nontraffic,V29.198,,,code,0
pedal cycle (traffic),V21.59,,,code,0
nontraffic,V21.19,,,code,0
nontraffic,V20.19,,,code,0
traffic,V20.59,,,code,0
pickup truck (traffic),V23.59,,,code,0
nontraffic,V23.19,,,code,0
railway vehicle (traffic),V25.59,,,code,0
nontraffic,V25.19,,,code,0
specified vehicle NEC (traffic),V26.59,,,code,0
nontraffic,V26.19,,,code,0
stationary object (traffic),V27.59,,,code,0
nontraffic,V27.19,,,code,0
streetcar (traffic),V26.59,,,code,0
nontraffic,V26.19,,,code,0
three wheeled motor vehicle (traffic),V22.59,,,code,0
nontraffic,V22.19,,,code,0
truck (traffic),V24.59,,,code,0
nontraffic,V24.19,,,code,0
two wheeled motor vehicle (traffic),V22.59,,,code,0
nontraffic,V22.19,,,code,0
van (traffic),V23.59,,,code,0
nontraffic,V23.19,,,code,0
noncollision accident (traffic),V28.59,,,code,0
nontraffic,V28.19,,,code,0
specified type NEC,V29.888,,,code,0
military vehicle,V29.818,,,code,0
motor vehicle NEC occupant (traffic),V89.2,,,code,0
aircraft (powered),V95.9,,,code,0
commercial,,"Accident, transport, aircraft, occupant, powered, fixed wing, commercial",,see,0
private,,"Accident, transport, aircraft, occupant, powered, fixed wing, private",,see,0
nonpowered,V96.9,,,code,0
specified NEC,V95.8,,,code,0
airport battery-powered vehicle,,"Accident, transport, industrial vehicle occupant",,see,0
all-terrain vehicle (ATV),,"Accident, transport, all-terrain vehicle occupant",,see,0
animal-drawn vehicle,,"Accident, transport, animal-drawn vehicle occupant",,see,0
automobile,,"Accident, transport, car occupant",,see,0
balloon,V96.00,,,code,0
battery-powered vehicle,,"Accident, transport, industrial vehicle occupant",,see,0
bicycle,,"Accident, transport, pedal cyclist",,see,0
motorized,,"Accident, transport, motorcycle rider",,see,0
boat NEC,,"Accident, watercraft",,see,0
bulldozer,,"Accident, transport, construction vehicle occupant",,see,0
bus,,"Accident, transport, bus occupant",,see,0
cable car (on rails),,,"Accident, transport, streetcar occupant",see_also,0
not on rails,V98.0,,,code,0
car,,,"Accident, transport, car occupant",see_also,0
cable (on rails),,,"Accident, transport, streetcar occupant",see_also,0
not on rails,V98.0,,,code,0
coach,,"Accident, transport, bus occupant",,see,0
coal-car,,"Accident, transport, industrial vehicle occupant",,see,0
digger,,"Accident, transport, construction vehicle occupant",,see,0
dump truck,,"Accident, transport, construction vehicle occupant",,see,0
earth-leveler,,"Accident, transport, construction vehicle occupant",,see,0
farm machinery (self-propelled),,"Accident, transport, agricultural vehicle occupant",,see,0
forklift,,"Accident, transport, industrial vehicle occupant",,see,0
glider (unpowered),V96.20,,,code,0
hang,V96.10,,,code,0
powered (microlight) (ultralight),,"Accident, transport, aircraft, occupant, powered, glider",,see,0
glider (unpowered) NEC,V96.20,,,code,0
hang-glider,V96.10,,,code,0
harvester,,"Accident, transport, agricultural vehicle occupant",,see,0
heavy (transport) vehicle,,"Accident, transport, truck occupant",,see,0
helicopter,,"Accident, transport, aircraft, occupant, helicopter",,see,0
ice-yacht,V98.2,,,code,0
kite (carrying person),V96.8,,,code,0
land-yacht,V98.1,,,code,0
logging car,,"Accident, transport, industrial vehicle occupant",,see,0
mechanical shovel,,"Accident, transport, construction vehicle occupant",,see,0
microlight,,"Accident, transport, aircraft, occupant, powered, glider",,see,0
minibus,,"Accident, transport, pickup truck occupant",,see,0
minivan,,"Accident, transport, pickup truck occupant",,see,0
moped,,"Accident, transport, motorcycle",,see,0
motor scooter,,"Accident, transport, motorcycle",,see,0
motorcycle (with sidecar),,"Accident, transport, motorcycle",,see,0
off-road motor-vehicle,V86.99,,"Accident, transport, all-terrain vehicle occupant",code_with_see_also,0
pedal cycle,,,"Accident, transport, pedal cyclist",see_also,0
pick-up (truck),,"Accident, transport, pickup truck occupant",,see,0
railway (train) (vehicle) (subterranean) (elevated),,"Accident, transport, railway vehicle occupant",,see,0
rickshaw,,"Accident, transport, pedal cycle",,see,0
motorized,,"Accident, transport, three-wheeled motor vehicle",,see,0
pedal driven,,"Accident, transport, pedal cyclist",,see,0
road-roller,,"Accident, transport, construction vehicle occupant",,see,0
ship NOS,V94.9,,,code,0
ski-lift (chair) (gondola),V98.3,,,code,0
snowmobile,,"Accident, transport, snowmobile occupant",,see,0
"spacecraft, spaceship",,"Accident, transport, aircraft, occupant, spacecraft",,see,0
sport utility vehicle,,"Accident, transport, pickup truck occupant",,see,0
streetcar (interurban) (operating on public street or highway),,"Accident, transport, streetcar occupant",,see,0
SUV,,"Accident, transport, pickup truck occupant",,see,0
téléférique,V98.0,,,code,0
three-wheeled vehicle (motorized),,,"Accident, transport, three-wheeled motor vehicle occupant",see_also,0
nonmotorized,,"Accident, transport, pedal cycle",,see,0
tractor (farm) (and trailer),,"Accident, transport, agricultural vehicle occupant",,see,0
train,,"Accident, transport, railway vehicle occupant",,see,0
tram,,"Accident, transport, streetcar occupant",,see,0
in mine or quarry,,"Accident, transport, industrial vehicle occupant",,see,0
tricycle,,"Accident, transport, pedal cycle",,see,0
motorized,,"Accident, transport, three-wheeled motor vehicle",,see,0
trolley,,"Accident, transport, streetcar occupant",,see,0
in mine or quarry,,"Accident, transport, industrial vehicle occupant",,see,0
"tub, in mine or quarry",,"Accident, transport, industrial vehicle occupant",,see,0
ultralight,,"Accident, transport, aircraft, occupant, powered, glider",,see,0
van,,"Accident, transport, van occupant",,see,0
vehicle NEC,V89.9,,,code,0
heavy transport,,"Accident, transport, truck occupant",,see,0
motor (traffic) NEC,V89.2,,,code,0
nontraffic NEC,V89.0,,,code,0
watercraft NOS,V94.9,,,code,0
causing drowning,,"Drowning, resulting from accident to boat",,see,0
off-road motor-vehicle,V86.99,,"Accident, transport, all-terrain vehicle occupant",code_with_see_also,0
parachutist,V97.29,,,code,0
after accident to aircraft,,"Accident, transport, aircraft",,see,0
entangled in object,V97.21,,,code,0
injured on landing,V97.22,,,code,0
pedal cyclist,V19.9,,,code,0
animal (traffic),V10.9,,,code,0
being ridden (traffic),V16.9,,,code,0
nontraffic,V16.2,,,code,0
while boarding or alighting,V16.3,,,code,0
nontraffic,V10.2,,,code,0
while boarding or alighting,V10.3,,,code,0
animal-drawn vehicle (traffic),V16.9,,,code,0
nontraffic,V16.2,,,code,0
while boarding or alighting,V16.3,,,code,0
bus (traffic),V14.9,,,code,0
nontraffic,V14.2,,,code,0
while boarding or alighting,V14.3,,,code,0
car (traffic),V13.9,,,code,0
nontraffic,V13.2,,,code,0
while boarding or alighting,V13.3,,,code,0
motor vehicle NOS (traffic),V19.60,,,code,0
nontraffic,V19.20,,,code,0
specified type NEC (traffic),V19.69,,,code,0
nontraffic,V19.29,,,code,0
pedal cycle (traffic),V11.9,,,code,0
nontraffic,V11.2,,,code,0
while boarding or alighting,V11.3,,,code,0
pickup truck (traffic),V13.9,,,code,0
nontraffic,V13.2,,,code,0
while boarding or alighting,V13.3,,,code,0
railway vehicle (traffic),V15.9,,,code,0
nontraffic,V15.2,,,code,0
while boarding or alighting,V15.3,,,code,0
specified vehicle NEC (traffic),V16.9,,,code,0
nontraffic,V16.2,,,code,0
while boarding or alighting,V16.3,,,code,0
stationary object (traffic),V17.9,,,code,0
nontraffic,V17.2,,,code,0
while boarding or alighting,V17.3,,,code,0
streetcar (traffic),V16.9,,,code,0
nontraffic,V16.2,,,code,0
while boarding or alighting,V16.3,,,code,0
three wheeled motor vehicle (traffic),V12.9,,,code,0
nontraffic,V12.2,,,code,0
while boarding or alighting,V12.3,,,code,0
truck (traffic),V14.9,,,code,0
nontraffic,V14.2,,,code,0
while boarding or alighting,V14.3,,,code,0
two wheeled motor vehicle (traffic),V12.9,,,code,0
nontraffic,V12.2,,,code,0
while boarding or alighting,V12.3,,,code,0
van (traffic),V13.9,,,code,0
nontraffic,V13.2,,,code,0
while boarding or alighting,V13.3,,,code,0
animal (traffic),V10.4,,,code,0
being ridden (traffic),V16.4,,,code,0
nontraffic,V16.0,,,code,0
nontraffic,V10.0,,,code,0
animal-drawn vehicle (traffic),V16.4,,,code,0
nontraffic,V16.0,,,code,0
bus (traffic),V14.4,,,code,0
nontraffic,V14.0,,,code,0
car (traffic),V13.4,,,code,0
nontraffic,V13.0,,,code,0
motor vehicle NOS (traffic),V19.40,,,code,0
nontraffic,V19.00,,,code,0
specified type NEC (traffic),V19.49,,,code,0
nontraffic,V19.09,,,code,0
pedal cycle (traffic),V11.4,,,code,0
nontraffic,V11.0,,,code,0
pickup truck (traffic),V13.4,,,code,0
nontraffic,V13.0,,,code,0
railway vehicle (traffic),V15.4,,,code,0
nontraffic,V15.0,,,code,0
specified vehicle NEC (traffic),V16.4,,,code,0
nontraffic,V16.0,,,code,0
stationary object (traffic),V17.4,,,code,0
nontraffic,V17.0,,,code,0
streetcar (traffic),V16.4,,,code,0
nontraffic,V16.0,,,code,0
three wheeled motor vehicle (traffic),V12.4,,,code,0
nontraffic,V12.0,,,code,0
truck (traffic),V14.4,,,code,0
nontraffic,V14.0,,,code,0
two wheeled motor vehicle (traffic),V12.4,,,code,0
nontraffic,V12.0,,,code,0
van (traffic),V13.4,,,code,0
nontraffic,V13.0,,,code,0
noncollision accident (traffic),V18.4,,,code,0
nontraffic,V18.0,,,code,0
noncollision accident (traffic),V18.9,,,code,0
nontraffic,V18.2,,,code,0
while boarding or alighting,V18.3,,,code,0
nontraffic,V19.3,,,code,0
animal (traffic),V10.5,,,code,0
being ridden (traffic),V16.5,,,code,0
nontraffic,V16.1,,,code,0
nontraffic,V10.1,,,code,0
animal-drawn vehicle (traffic),V16.5,,,code,0
nontraffic,V16.1,,,code,0
bus (traffic),V14.5,,,code,0
nontraffic,V14.1,,,code,0
car (traffic),V13.5,,,code,0
nontraffic,V13.1,,,code,0
motor vehicle NOS (traffic),V19.50,,,code,0
nontraffic,V19.10,,,code,0
specified type NEC (traffic),V19.59,,,code,0
nontraffic,V19.19,,,code,0
pedal cycle (traffic),V11.5,,,code,0
nontraffic,V11.1,,,code,0
pickup truck (traffic),V13.5,,,code,0
nontraffic,V13.1,,,code,0
railway vehicle (traffic),V15.5,,,code,0
nontraffic,V15.1,,,code,0
specified vehicle NEC (traffic),V16.5,,,code,0
nontraffic,V16.1,,,code,0
stationary object (traffic),V17.5,,,code,0
nontraffic,V17.1,,,code,0
streetcar (traffic),V16.5,,,code,0
nontraffic,V16.1,,,code,0
three wheeled motor vehicle (traffic),V12.5,,,code,0
nontraffic,V12.1,,,code,0
truck (traffic),V14.5,,,code,0
nontraffic,V14.1,,,code,0
two wheeled motor vehicle (traffic),V12.5,,,code,0
nontraffic,V12.1,,,code,0
van (traffic),V13.5,,,code,0
nontraffic,V13.1,,,code,0
noncollision accident (traffic),V18.5,,,code,0
nontraffic,V18.1,,,code,0
specified type NEC,V19.88,,,code,0
military vehicle,V19.81,,,code,0
conveyance (occupant),V09.9,,,code,0
baby stroller,V00.828,,,code,0
collision (with),V09.9,,,code,0
animal being ridden or animal drawn vehicle,V06.99,,,code,0
nontraffic,V06.09,,,code,0
traffic,V06.19,,,code,0
bus or heavy transport,V04.99,,,code,0
nontraffic,V04.09,,,code,0
traffic,V04.19,,,code,0
car,V03.99,,,code,0
nontraffic,V03.09,,,code,0
traffic,V03.19,,,code,0
pedal cycle,V01.99,,,code,0
nontraffic,V01.09,,,code,0
traffic,V01.19,,,code,0
pick-up truck or van,V03.99,,,code,0
nontraffic,V03.09,,,code,0
traffic,V03.19,,,code,0
railway (train) (vehicle),V05.99,,,code,0
